Brynmor Cardarelli  Attacker 22
Danr Haynes  Attacker 68
Mitra Weizenbaum  Attacker 93
Ettore Urbanski  Attacker 76
Conrad Cramer  Attacker 47
Marquise Osborn  Attacker 37
Jupiter Jia  Midfield 30
Zachariah Herwitz  Midfield 11
Amirah Bowlby  Midfield 43
Sheldon Price  Midfield 85
Chandan Klaassen  Midfield 60
Leo Schneps  Midfield 75
Julian Spooner  Midfield 58
Hudson Orchard  Defender 46
Menahem Rasmussen  Defender 33
Sébastien Septimus  Defender 42
Matthew Bernard  Defender 82
Raymond Trujillo  Defender 29
Ettore Pistone  Defender 78
Omiros Alway  Defender 32
Elijah Whidden  Defender 15
Matthaios Tucker  Goalkeeper 74
