Aniol Jia  Attacker 60
Nolan Goodrich  Attacker 50
Eliezer Lessi  Attacker 86
Austin Catelani  Attacker 90
Liam Lombard  Attacker 66
Levi Keller  Attacker 96
Rida Fior  Midfield 15
Axel Reginatto  Midfield 51
Traianus Jackson  Midfield 97
Brayan Medoff  Midfield 23
Jaxson Rizzuto  Midfield 26
Kolya Septimus  Midfield 14
Wesley Holloway  Midfield 29
Keshawn Rasmussen  Defender 55
Kyson Hassan  Defender 59
Adem Zamora  Defender 46
Quinn Orlando  Defender 96
Wyatt Mcknight  Defender 99
Hudson Ortiz  Defender 69
Jordan Spragg  Defender 56
Chandan Antles  Defender 47
Stanislav Upjohn  Goalkeeper 21
