Josiah Kemsley  Attacker 41
Adrien Noble  Attacker 35
Asher Churchill  Attacker 74
Kobina Jia  Attacker 33
Robert Dapozzo  Attacker 82
Antonije Trim  Attacker 69
Kratos Beckman  Midfield 69
Lincoln O'loughlin  Midfield 11
Dumuzi Beckman  Midfield 29
Daniel Antles  Midfield 59
Sebastian Giles  Midfield 68
Aristodemos Wolcott  Midfield 50
Reese Archambault  Midfield 21
Pamphilos Zamora  Defender 50
Cooper Osborn  Defender 57
Kymani Cochran  Defender 17
Dagan Roberts  Defender 75
Ryan Bagehot  Defender 75
Feliciano Rivas  Defender 79
Chuy Dhebar  Defender 37
Bailey Lissy  Defender 76
Chris Onderdonk  Goalkeeper 25
