Cameron Kemsley  Attacker 98
Samar Collier  Attacker 52
Gabriel Aureli  Attacker 52
Adrien Lampe  Attacker 31
Reese Taubes  Attacker 15
Ekkebert Blood  Attacker 42
Ilarion Woods  Midfield 47
Gunnar Sims  Midfield 87
Davin Calzoni  Midfield 32
Jeremiah Raimondo  Midfield 87
Dominic Holloway  Midfield 58
Elisha Russell  Midfield 50
Victorina Toso  Midfield 29
Aiden Pizano  Defender 77
Ezekiel Bradshaw  Defender 15
Sébastien Coundouriotis  Defender 50
Yair Mckay  Defender 40
Matthaios Tucker  Defender 62
Greyson Syrus  Defender 69
Stanislav Upjohn  Defender 81
Chris Onderdonk  Defender 66
Maximillian Jamentz  Goalkeeper 47
